Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,,12/1/2009 7:45,6.95,13085,United Kingdom
489434,79323P,PINK CHERRY LIGHTS,12,12/1/2009 7:45,6.75,13085,United Kingdom
489434,79323W, WHITE CHERRY LIGHTS,,12/1/2009 7:45,6.75,13085,United Kingdom
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/1/2009 7:45,,13085,United Kingdom
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/1/2009 7:45,1.25,13085,United Kingdom
489434,22064,PINK DOUGHNUT TRINKET POT ,24,12/1/2009 7:45,1.65,13085,United Kingdom
489434,21871,SAVE THE PLANET MUG,,12/1/2009 7:45,1.25,13085,United Kingdom
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,12/1/2009 7:45,5.95,13085,United Kingdom
489435,22350,CAT BOWL ,12,12/1/2009 7:46,2.55,13085,United Kingdom
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,12/1/2009 7:46,3.75,13085,United Kingdom
489435,22195,HEART MEASURING SPOONS LARGE,24,12/1/2009 7:46,1.65,13085,United Kingdom
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,12/1/2009 7:46,2.55,13085,United Kingdom
489436,48173C,DOOR MAT BLACK FLOCK ,10,12/1/2009 9:06,5.95,13078,United Kingdom
489436,21755,LOVE BUILDING BLOCK WORD,18,12/1/2009 9:06,5.45,13078,United Kingdom
489436,21754,HOME BUILDING BLOCK WORD,3,12/1/2009 9:06,5.95,13078,United Kingdom
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/2009 9:06,1.69,13078,United Kingdom
489436,22119, PEACE WOODEN BLOCK LETTERS,3,12/1/2009 9:06,6.95,13078,United Kingdom
489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,12/1/2009 9:06,1.45,13078,United Kingdom
489436,22296,HEART IVORY TRELLIS LARGE,12,12/1/2009 9:06,1.65,13078,United Kingdom
489436,22295,HEART FILIGREE DOVE LARGE,12,12/1/2009 9:06,1.65,13078,United Kingdom
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,12/1/2009 9:06,3.39,13078,United Kingdom
489436,22107,PIZZA PLATE IN BOX,4,12/1/2009 9:06,3.75,13078,United Kingdom
489436,22194,BLACK DINER WALL CLOCK,2,12/1/2009 9:06,,13078,United Kingdom
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,12/1/2009 9:06,4.65,13078,United Kingdom
489436,82582,AREA PATROLLED METAL SIGN,12,12/1/2009 9:06,2.1,13078,
489436,21181,PLEASE ONE PERSON  METAL SIGN,12,12/1/2009 9:06,2.1,13078,
489436,21756,BATH BUILDING BLOCK WORD,3,12/1/2009 9:06,5.95,13078,United Kingdom
489436,21333,CLASSIC WHITE FRAME,6,12/1/2009 9:06,2.95,13078,United Kingdom
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,12/1/2009 9:06,1.25,13078,United Kingdom
489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,12/1/2009 9:06,1.25,13078,United Kingdom
489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24,12/1/2009 9:06,4.25,13078,United Kingdom
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,12/1/2009 9:08,2.1,15362,United Kingdom
489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6,12/1/2009 9:08,2.1,15362,United Kingdom
489437,22130,PARTY CONE CHRISTMAS DECORATION ,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,21364,PEACE SMALL WOOD LETTERS,2,12/1/2009 9:08,6.75,15362,United Kingdom
489437,21360,JOY LARGE WOOD LETTERS,,12/1/2009 9:08,9.95,15362,United Kingdom
489437,21351,CINAMMON & ORANGE WREATH,,12/1/2009 9:08,6.75,15362,United Kingdom
489437,21352,EUCALYPTUS & PINECONE  WREATH,,12/1/2009 9:08,6.75,15362,United Kingdom
489437,35400,WOODEN BOX ADVENT CALENDAR ,,12/1/2009 9:08,8.95,15362,United Kingdom
489437,20695,FLORAL BLUE MONSTER,3,12/1/2009 9:08,4.25,15362,United Kingdom
489437,37370,RETRO COFFEE MUGS ASSORTED,12,12/1/2009 9:08,1.25,15362,United Kingdom
489437,10002,INFLATABLE POLITICAL GLOBE ,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,84507B,STRIPES DESIGN MONKEY DOLL,6,12/1/2009 9:08,2.55,15362,United Kingdom
489437,20703,BLUE PADDED SOFT MOBILE,3,12/1/2009 9:08,4.25,15362,United Kingdom
489437,21987,PACK OF 6 SKULL PAPER CUPS,12,12/1/2009 9:08,0.65,15362,United Kingdom
489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,12/1/2009 9:08,0.85,15362,United Kingdom
489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,12/1/2009 9:08,1.25,15362,United Kingdom
489437,22271,FELTCRAFT DOLL ROSIE,6,12/1/2009 9:08,2.95,15362,United Kingdom
489437,22272,FELTCRAFT DOLL MARIA,6,12/1/2009 9:08,2.95,15362,United Kingdom
489437,22274,FELTCRAFT DOLL EMILY,6,12/1/2009 9:08,2.95,15362,United Kingdom
489437,21912,VINTAGE SNAKES & LADDERS,4,12/1/2009 9:08,3.75,15362,United Kingdom
489437,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/1/2009 9:08,4.95,15362,United Kingdom
489437,22112,CHOCOLATE HOT WATER BOTTLE,3,12/1/2009 9:08,4.95,15362,United Kingdom
489438,21329,DINOSAURS  WRITING SET ,28,12/1/2009 9:24,0.98,18102,United Kingdom
489438,21252,SET OF MEADOW  FLOWER STICKERS,30,12/1/2009 9:24,1.69,18102,United Kingdom
489438,21100,CHARLIE AND LOLA CHARLOTTE BAG,30,12/1/2009 9:24,1.15,18102,United Kingdom
489438,21033,JUMBO BAG CHARLIE AND LOLA TOYS,30,12/1/2009 9:24,2,18102,United Kingdom
489438,20711,JUMBO BAG TOYS ,60,12/1/2009 9:24,1.3,18102,United Kingdom
489438,21410,COUNTRY COTTAGE  DOORSTOP GREEN,32,12/1/2009 9:24,2.5,18102,United Kingdom
489438,21411,GINGHAM HEART  DOORSTOP RED,32,12/1/2009 9:24,2.5,18102,United Kingdom
489438,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,56,12/1/2009 9:24,3,18102,United Kingdom
